cdn1_allcolo.ns6732 S3FIFO-0.7500-1.9000 cache size       10, 1394608 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_allcolo.ns6732 S3FIFO-0.0500-0.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.0500-0.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.0500-0.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.6500-1.9000 cache size       10, 1394608 req, miss ratio 0.0063, byte miss ratio 0.0063
cdn1_allcolo.ns6732 S3FIFO-0.6500-1.9000 cache size       32, 1394608 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns6732 S3FIFO-0.6500-1.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.6500-1.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.6500-1.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.6500-1.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.1500-1.9000 cache size       10, 1394608 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns6732 S3FIFO-0.1500-1.9000 cache size       32, 1394608 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns6732 S3FIFO-0.1500-1.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.1500-1.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.1500-1.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.1500-1.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.2000-0.9000 cache size       10, 1394608 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns6732 S3FIFO-0.2000-0.9000 cache size       32, 1394608 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns6732 S3FIFO-0.2000-0.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.2000-0.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.2000-0.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.2000-0.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.1500-0.9000 cache size       10, 1394608 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_allcolo.ns6732 S3FIFO-0.1500-0.9000 cache size       32, 1394608 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns6732 S3FIFO-0.1500-0.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.1500-0.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.1500-0.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.1500-0.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.0050-0.9000 cache size       10, 1394608 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6732 S3FIFO-0.0050-0.9000 cache size       32, 1394608 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6732 S3FIFO-0.0050-0.9000 cache size      107, 1394608 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns6732 S3FIFO-0.0050-0.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.0050-0.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.0050-0.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.7500-0.9000 cache size       10, 1394608 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_allcolo.ns6732 S3FIFO-0.7500-0.9000 cache size       32, 1394608 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns6732 S3FIFO-0.7500-0.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.7500-0.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.7500-0.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.7500-0.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.9500-1.9000 cache size       10, 1394608 req, miss ratio 0.0078, byte miss ratio 0.0078
cdn1_allcolo.ns6732 S3FIFO-0.9500-1.9000 cache size       32, 1394608 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns6732 S3FIFO-0.9500-1.9000 cache size      107, 1394608 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns6732 S3FIFO-0.9500-1.9000 cache size      215, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.9500-1.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.9500-1.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.8000-1.9000 cache size       10, 1394608 req, miss ratio 0.0074, byte miss ratio 0.0074
cdn1_allcolo.ns6732 S3FIFO-0.8000-1.9000 cache size       32, 1394608 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns6732 S3FIFO-0.8000-1.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.8000-1.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.8000-1.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.8000-1.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.4500-0.9000 cache size       10, 1394608 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns6732 S3FIFO-0.4500-0.9000 cache size       32, 1394608 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns6732 S3FIFO-0.4500-0.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.4500-0.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.4500-0.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.4500-0.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.9000-0.9000 cache size       10, 1394608 req, miss ratio 0.0078, byte miss ratio 0.0078
cdn1_allcolo.ns6732 S3FIFO-0.9000-0.9000 cache size       32, 1394608 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns6732 S3FIFO-0.9000-0.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.9000-0.9000 cache size      215, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.9000-0.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.9000-0.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.3000-0.9000 cache size       10, 1394608 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns6732 S3FIFO-0.3000-0.9000 cache size       32, 1394608 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns6732 S3FIFO-0.3000-0.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.3000-0.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.3000-0.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.3000-0.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.5500-1.9000 cache size       10, 1394608 req, miss ratio 0.0057, byte miss ratio 0.0057
cdn1_allcolo.ns6732 S3FIFO-0.5500-1.9000 cache size       32, 1394608 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns6732 S3FIFO-0.5500-1.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.5500-1.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.5500-1.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.5500-1.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.8500-0.9000 cache size       10, 1394608 req, miss ratio 0.0074, byte miss ratio 0.0074
cdn1_allcolo.ns6732 S3FIFO-0.8500-0.9000 cache size       32, 1394608 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns6732 S3FIFO-0.8500-0.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.8500-0.9000 cache size      215, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.8500-0.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.8500-0.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.7000-1.9000 cache size       10, 1394608 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_allcolo.ns6732 S3FIFO-0.7000-1.9000 cache size       32, 1394608 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns6732 S3FIFO-0.7000-1.9000 cache size      107, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 S3FIFO-0.7000-1.9000 cache size      215, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.7000-1.9000 cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 S3FIFO-0.7000-1.9000 cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 FIFO cache size       10, 1394608 req, miss ratio 0.0078, byte miss ratio 0.0078
cdn1_allcolo.ns6732 FIFO cache size       32, 1394608 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns6732 FIFO cache size      107, 1394608 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns6732 FIFO cache size      215, 1394608 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns6732 FIFO cache size      431, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns6732 FIFO cache size      862, 1394608 req, miss ratio 0.0008, byte miss ratio 0.0008
