crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-1.9000 cache size     4125, 13592225 req, miss ratio 0.3036, byte miss ratio 0.3036
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7500-0.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-0.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-0.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-1.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size     4125, 13592225 req, miss ratio 0.3038, byte miss ratio 0.3038
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size    12376, 13592225 req, miss ratio 0.3037, byte miss ratio 0.3037
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size     4125, 13592225 req, miss ratio 0.3036, byte miss ratio 0.3036
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  1650144, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  3300289, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     4125, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    12376, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    41253, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   123760, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   412536, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
crt_tweet_events_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   825072, 13592225 req, miss ratio 0.3035, byte miss ratio 0.3035
