cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size    25578, 140036281 req, miss ratio 0.2020, byte miss ratio 0.2020
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    25578, 140036281 req, miss ratio 0.1845, byte miss ratio 0.1845
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    76735, 140036281 req, miss ratio 0.1836, byte miss ratio 0.1836
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   255785, 140036281 req, miss ratio 0.1831, byte miss ratio 0.1831
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    25578, 140036281 req, miss ratio 0.1966, byte miss ratio 0.1966
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    76735, 140036281 req, miss ratio 0.1913, byte miss ratio 0.1913
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   255785, 140036281 req, miss ratio 0.1863, byte miss ratio 0.1863
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   767356, 140036281 req, miss ratio 0.1830, byte miss ratio 0.1830
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size    25578, 140036281 req, miss ratio 0.1842, byte miss ratio 0.1842
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size    76735, 140036281 req, miss ratio 0.1833, byte miss ratio 0.1833
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size   255785, 140036281 req, miss ratio 0.1829, byte miss ratio 0.1829
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size    25578, 140036281 req, miss ratio 0.2235, byte miss ratio 0.2235
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size    76735, 140036281 req, miss ratio 0.2064, byte miss ratio 0.2064
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   255785, 140036281 req, miss ratio 0.1950, byte miss ratio 0.1950
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   767356, 140036281 req, miss ratio 0.1901, byte miss ratio 0.1901
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1852, byte miss ratio 0.1852
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1829, byte miss ratio 0.1829
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    25578, 140036281 req, miss ratio 0.2019, byte miss ratio 0.2019
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    76735, 140036281 req, miss ratio 0.1937, byte miss ratio 0.1937
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   255785, 140036281 req, miss ratio 0.1891, byte miss ratio 0.1891
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   767356, 140036281 req, miss ratio 0.1843, byte miss ratio 0.1843
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size    25578, 140036281 req, miss ratio 0.1844, byte miss ratio 0.1844
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size    76735, 140036281 req, miss ratio 0.1833, byte miss ratio 0.1833
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   255785, 140036281 req, miss ratio 0.1829, byte miss ratio 0.1829
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   767356, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size    25578, 140036281 req, miss ratio 0.1852, byte miss ratio 0.1852
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size    76735, 140036281 req, miss ratio 0.1841, byte miss ratio 0.1841
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   255785, 140036281 req, miss ratio 0.1834, byte miss ratio 0.1834
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size   767356, 140036281 req, miss ratio 0.1830, byte miss ratio 0.1830
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9000-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size    25578, 140036281 req, miss ratio 0.1856, byte miss ratio 0.1856
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size    76735, 140036281 req, miss ratio 0.1843, byte miss ratio 0.1843
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size   255785, 140036281 req, miss ratio 0.1835, byte miss ratio 0.1835
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size   767356, 140036281 req, miss ratio 0.1831, byte miss ratio 0.1831
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size  2557855, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size    25578, 140036281 req, miss ratio 0.1850, byte miss ratio 0.1850
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size    76735, 140036281 req, miss ratio 0.1839, byte miss ratio 0.1839
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size   255785, 140036281 req, miss ratio 0.1833, byte miss ratio 0.1833
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size   767356, 140036281 req, miss ratio 0.1829, byte miss ratio 0.1829
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size    25578, 140036281 req, miss ratio 0.1846, byte miss ratio 0.1846
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size    76735, 140036281 req, miss ratio 0.1837, byte miss ratio 0.1837
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size   255785, 140036281 req, miss ratio 0.1831, byte miss ratio 0.1831
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size   767356, 140036281 req, miss ratio 0.1829, byte miss ratio 0.1829
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size    25578, 140036281 req, miss ratio 0.1841, byte miss ratio 0.1841
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size    76735, 140036281 req, miss ratio 0.1834, byte miss ratio 0.1834
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   255785, 140036281 req, miss ratio 0.1830, byte miss ratio 0.1830
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.4500-1.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size    25578, 140036281 req, miss ratio 0.1844, byte miss ratio 0.1844
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size    76735, 140036281 req, miss ratio 0.1836, byte miss ratio 0.1836
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size   255785, 140036281 req, miss ratio 0.1831, byte miss ratio 0.1831
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    25578, 140036281 req, miss ratio 0.1842, byte miss ratio 0.1842
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size    76735, 140036281 req, miss ratio 0.1833, byte miss ratio 0.1833
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   255785, 140036281 req, miss ratio 0.1829, byte miss ratio 0.1829
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size    25578, 140036281 req, miss ratio 0.1843, byte miss ratio 0.1843
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size    76735, 140036281 req, miss ratio 0.1833, byte miss ratio 0.1833
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size   255785, 140036281 req, miss ratio 0.1829, byte miss ratio 0.1829
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size   767356, 140036281 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size  2557855, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size  5115711, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size 10231422, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size 20462845, 140036281 req, miss ratio 0.1827, byte miss ratio 0.1827
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    25578, 140036281 req, miss ratio 0.1848, byte miss ratio 0.1848
cdn2_sjc.ns4.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    76735, 140036281 req, miss ratio 0.1833, byte miss ratio 0.1833
